Function,Class
1943798004,1
862584666,0
3382249817,0
1393551359,1
1878252531,1
1086345514,1
4028707038,1
2186940400,1
1147183264,1
888172799,1
3357801135,0
3996072883,1
1346559040,1
1869569135,0
202332581,0
1549373589,0
2835149730,0
50580973,1
2733635069,1
3435192558,0
2230246783,1
2919288060,1
4091790305,1
1774992399,1
4054060558,0
2960161659,1
634398145,1
1253760766,1
13377557,1
2084859727,1
547791492,1
3878134442,1
3974135028,1
673776901,1
1953890208,1
2750394243,1
2934697711,1
4245732373,1
1718218465,0
691073264,1
4278550405,1
355794995,1
336878335,1
1442446289,1
1070544846,1
2011885632,0
3672165088,1
2622492656,0
2400134505,1
3220074286,1
2860685697,0
2797643370,0
256897022,1
2423230522,0
2823094816,0
2818877442,0
2104855688,0
1108493084,1
3128461528,1
2104868400,0
101287433,1
1916039719,1
470929663,1
2901610235,0
4007464656,0
3671853776,1
1514427723,0
1143625727,1
4290740922,1
2836046085,1
3287333088,1
1420758543,1
2197000435,1
8973212,1
258319823,0
3789361442,0
1263071475,0
16982979,1
1122162904,1
4288643999,1
1090190040,1
1428815935,0
4106485920,1
4037678110,1
3456826704,1
441094250,1
4038548091,1
260902846,1
1328792320,1
2178916572,1
3389192942,1
1609919498,0
2868834352,1
671755520,1
3488276275,1
4125908309,1
61429500,0
2070969099,0
856805189,0
3481831304,1
635379920,1
2273817810,1
3347572551,1
1090126070,1
3702141183,1
1221585487,1
1607503816,0
4278502975,1
1007640428,0
1329794818,1
178937958,0
4294065666,1
69075184,1
3477585968,1
660799471,1
3044386647,0
4283235844,1
2581402589,1
867234752,1
1146768213,0
3611713367,1
13578439,1
1599448458,1
3806443444,0
1413443599,1
4294675852,1
3256879232,1
1974493141,1
1849651135,1
183935068,0
581374389,0
3622139767,1
137002794,1
3462826530,0
3293298,1
3455027386,1
3739126356,0
2304713599,1
4293972240,1
2751449087,1
2353309157,1
1827422400,1
4024610688,1
3841225651,1
2231502088,1
2578133504,1
1493371990,0
104138246,0
82784499,1
1426066525,0
720039887,1
4207998929,1
100321013,0
3806483936,1
3623683840,1
3200139842,0
1644493317,0
24378751,1
202372611,1
4259318848,1
2433801472,1
760086335,1
1381774131,1
3719262223,1
2982723471,1
2055165237,1
1171957,1
2835559321,0
3974234127,1
677370031,0
100652357,1
3337995833,0
341171797,1
4174248013,1
1442124852,0
2678003082,0
571592141,1
252126215,1
3947112328,0
2800217839,1
4258262236,1
341114828,1
3392858923,1
4081033749,0
3423588559,1
1390116863,1
2654928383,1
184813515,1
488586011,1
3091517379,1
3455055343,1
2750096042,1
1431510787,1
3428450454,0
4039688442,0
504439341,0
1882126378,1
1286818883,0
3759070464,0
704129533,1
4207259536,0
2701131610,1
816883944,1
3202418160,1
3216356863,0
2600705292,0
1532691540,1
3379104426,0
3994987093,0
2928496221,0
2435924803,1
1560207104,1
3235214640,0
4014957263,1
2989736176,1
330047423,1
4081316610,1
816145904,0
3499544727,1
1799646276,1
627048705,1
4241425253,0
3322583466,0
84909206,0
490458248,0
3486987223,0
2213226495,1
2363018463,1
60428182,0
2400126799,1
1919124115,0
84581523,0
2874138623,1
4212347155,1
4214426369,1
3665799695,1
251981764,1
487781372,0
4093771008,1
892809251,1
2503970191,0
1155893421,0
2227481096,1
2267903789,0
979321941,1
3761299690,1
1448737881,0
1323596799,1
101512669,1
2146990728,1
3200159041,0
1009057701,0
672891569,0
1772775592,0
4241439879,1
3537703406,0
1987445290,1
1661299722,0
1004273619,1
4140168762,0
15639823,1
1866769056,0
3015238380,0
263190648,1
1010499635,1
2010489568,0
1140043727,1
95374510,1
1878002176,1
3959384380,1
2551228464,1
3234631856,1
1786477417,1
4244408678,1
2583668163,0
1275355101,1
3347120120,1
909387527,1
2425379984,0
2998042756,1
3220057856,1
3727692287,0
2295905259,0
4288232538,0
3204431803,1
11484307,0
3738292702,0
2426638428,0
3101535199,1
4198874628,1
2961125455,1
1971123324,1
3338009289,0
2947478980,1
2286701696,1
4137940572,0
1432353791,1
1516038656,1
3706772978,1
3284357219,0
3721531678,0
1666237379,0
33735682,0
1427189037,1
1094721537,1
2049896640,1
718070506,1
2685034297,0
2718075904,1
3563036095,1
3739102929,0
3723720571,1
4090244127,1
313785075,1
809877696,1
1383770280,1
4197822304,0
1767453443,0
183891398,0
1605566476,1
1157638767,0
3133289459,1
1608300021,1
3019963130,1
1225348352,1
3221340224,1
2297415823,1
3355767615,1
892679673,0
2733307743,1
1073803569,1
2885527977,0
3285971194,0
4278167893,1
1998806789,1
263170755,1
2368689447,1
4006539468,1
1077432575,1
4293438464,1
13009603,1
585224929,0
3136642821,1
163955977,0
4277978180,1
4033425577,0
1975189242,0
3769966367,0
4143971669,1
8257649,1
2439942545,0
4032117913,0
3388626261,0
922375594,0
469996435,1
1443090383,0
2858221813,1
2767541461,1
1459407974,0
2273875609,0
494909576,1
2936757589,1
3196947853,0
37749435,1
713594295,1
3237163215,0
2264892671,1
3140701132,0
2572759897,0
2939420624,1
3257072844,1
669767451,0
2952424505,0
2400694016,1
2701098274,0
1442818690,1
1594514705,1
11072349,1
3315953445,1
2227970099,1
3452913663,1
4123407104,0
3670603840,1
4110223874,1
1511085342,0
3233811545,0
2624328932,0
4022873928,1
1312945658,0
4210070986,1
3385256932,0
2648186912,1
1920122482,0
4082240520,0
4173592777,1
99923188,1
1358439120,1
1528780828,1
4292872725,1
4137878864,0
1777362428,0
790761759,0
324508625,1
1378396712,1
1346637904,1
2301594912,1
2768242856,1
655632129,1
2644051976,1
51344504,0
1879041786,1
1738553328,1
100955123,1
1429665269,1
1789313190,0
2472945704,1
1597237155,1
4289133218,0
1437553151,1
1766575342,0
530914733,1
4006509949,1
2921172104,1
1774414528,0
302026803,1
1152689573,0
3951788939,1
150994674,1
2990211835,1
4262784853,1
1325358879,1
1069570316,0
868452472,0
3285909594,0
787840895,0
1352425363,0
4264490453,1
3284665148,1
2529383935,0
1059037167,1
1600976138,0
2241148405,1
2939577142,0
1562419882,1
985386632,1
4231248552,1
1282323387,1
1997492288,1
4005490365,1
224903031,0
1342560713,1
2147413710,1
3974896867,0
3621244935,0
2367855667,0
3825920773,0
1002059834,1
1464131581,1
960265592,0
1711316118,1
3142337721,1
1249557066,1
1429842442,0
3473067793,1
1059770181,0
3723380202,1
1375559663,1
3484958536,0
1599433898,0
262536278,0
2669379515,1
1380975395,1
3467870850,0
2949579707,1
3145666815,1
3385393173,1
1727459874,0
4092825883,1
1187924482,1
2866327214,1
2930385576,1
1839343982,1
3078338415,1
4208748032,1
2628764656,0
1083064972,1
2053057237,1
2343173983,1
4091674551,1
4082515866,0
4294835324,1
3283145298,1
14500081,1
2607065311,1
895820836,1
1431969297,0
4017545077,0
3948233025,0
3639631357,1
228973829,1
10878041,0
3410750273,1
4124144401,0
3495755125,1
3037052837,1
1159892258,1
2823155181,0
2474795890,0
735016911,1
3085971696,1
2284715866,0
3254449663,1
1682881467,1
12455600,0
323427660,0
2162606314,1
1397952989,0
4135553245,1
